acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.522,0.44,307387,0.482,0.00245,6,0.931,-10.712,1,0.0851,157.462,4,0.402
0.994,0.615,87573,0.21,0.91,9,0.113,-19.798,0,0.0534,86.106,4,0.827
0.181,0.511,160907,0.769,0.0,4,0.0921,-7.032,1,0.042,129.657,4,0.818
0.0038,0.901,163955,0.65,0.0,2,0.111,-4.137,1,0.0981,100.298,4,0.295
0.132,0.701,253733,0.885,0.000197,2,0.0657,-6.81,1,0.0614,121.54,4,0.741
0.496,0.515,172200,0.277,0.0,1,0.083,-14.584,1,0.0293,108.138,4,0.353
0.927,0.351,62622,0.289,0.918,2,0.106,-19.265,0,0.0371,74.818,4,0.0375
0.601,0.81,136413,0.221,0.21,5,0.184,-11.005,1,0.0429,109.96,4,0.798
0.00609,0.578,251800,0.848,0.00436,1,0.106,-5.092,1,0.0882,178.139,4,0.335
0.0529,0.704,291200,0.677,0.000114,5,0.169,-7.601,0,0.0449,119.928,4,0.0775
0.102,0.803,216575,0.631,7.39e-6,8,0.0858,-4.213,1,0.0444,104.999,4,0.659
0.0894,0.703,231189,0.656,0.0,1,0.371,-4.593,0,0.0496,110.082,4,0.214
0.00446,0.731,179467,0.95,3.64e-5,2,0.362,-2.705,1,0.0516,135.081,4,0.249
0.889,0.699,201547,0.234,5.03e-5,7,0.112,-14.525,1,0.0423,115.582,3,0.4
0.524,0.633,244360,0.401,0.0,4,0.123,-12.549,1,0.0439,134.978,4,0.523
0.00228,0.804,219196,0.755,0.0027,6,0.356,-4.712,0,0.0847,137.998,4,0.721
0.466,0.654,162062,0.419,0.0,7,0.181,-8.127,1,0.438,134.226,4,0.466
0.0242,0.551,244227,0.951,2.91e-6,9,0.156,-3.395,1,0.0717,99.992,4,0.509
0.0831,0.884,194936,0.541,0.0,11,0.118,-5.608,1,0.221,105.009,4,0.274
0.0908,0.683,141367,0.703,0.0,5,0.511,-5.278,1,0.419,90.029,4,0.344
0.00213,0.733,293543,0.543,0.000169,1,0.0703,-10.002,1,0.0445,106.019,4,0.118
0.00464,0.321,189480,0.955,0.00897,10,0.269,-2.749,0,0.146,167.467,4,0.331
0.975,0.213,220600,0.177,0.869,0,0.079,-17.848,0,0.0292,89.316,4,0.384
0.336,0.569,219248,0.497,0.0,9,0.102,-6.699,1,0.0375,103.525,4,0.154
0.000683,0.499,340132,0.97,0.136,0,0.0871,-2.838,1,0.116,106.558,4,0.0506
0.937,0.438,191867,0.177,0.956,0,0.298,-16.837,1,0.0339,74.999,4,0.468
0.00192,0.635,188571,0.72,0.0398,1,0.341,-4.148,1,0.0451,126.106,4,0.446
0.652,0.627,219040,0.132,0.0,0,0.43,-13.357,1,0.721,167.127,4,0.256
0.024,0.681,202720,0.89,1.3e-5,3,0.0663,-5.416,1,0.0484,136.401,4,0.803
0.863,0.334,341040,0.177,0.0,9,0.113,-13.759,1,0.0376,132.605,4,0.165
0.00113,0.838,215481,0.88,0.00809,2,0.101,-4.941,1,0.0458,123.024,4,0.354
0.15,0.746,214907,0.848,2.18e-6,2,0.37,-4.638,1,0.0331,138.047,4,0.756
0.00559,0.636,217600,0.904,0.0,2,0.155,-2.411,1,0.335,150.023,4,0.466
0.0489,0.357,202800,0.832,0.0,1,0.169,-5.232,1,0.0423,219.983,4,0.762
0.375,0.443,262107,0.457,0.0,0,0.235,-14.468,1,0.0804,161.86,3,0.694
0.0349,0.4,182920,0.829,0.0,2,0.237,-4.577,0,0.0419,152.078,4,0.517
0.803,0.715,46107,0.0882,0.0,9,0.0458,-17.133,1,0.338,94.622,4,0.917
0.00505,0.516,217501,0.914,3.79e-5,5,0.145,-1.887,1,0.0359,128.013,4,0.235
0.379,0.719,520661,0.664,0.0,4,0.979,-11.361,0,0.291,109.544,4,0.672
0.000878,0.816,357955,0.805,0.131,7,0.077,-6.155,1,0.0936,109.996,4,0.61
0.597,0.507,183573,0.795,0.0,9,0.296,-6.966,1,0.0607,165.54,4,0.9
0.00758,0.504,195427,0.515,7.77e-6,9,0.111,-8.145,1,0.0355,87.883,4,0.512
0.926,0.97,223853,0.262,0.908,10,0.0794,-10.023,1,0.0693,118.971,4,0.715
0.142,0.662,282387,0.948,1.23e-5,8,0.0675,-3.869,1,0.0914,88.987,4,0.839
0.088,0.429,247320,0.516,4.82e-5,4,0.301,-7.709,1,0.0297,80.933,4,0.478
0.455,0.467,186453,0.779,0.0,0,0.176,-3.071,1,0.0336,191.287,4,0.749
0.336,0.654,191000,0.859,0.0,0,0.0947,-4.321,1,0.166,114.87,4,0.704
2.04e-6,0.167,180738,0.968,0.868,6,0.331,-4.993,1,0.109,112.26,4,0.134
0.0178,0.847,226547,0.609,0.0,4,0.0707,-6.335,1,0.416,128.006,4,0.625
0.00293,0.706,169697,0.755,0.0,1,0.121,-5.505,0,0.0323,123.993,4,0.7
0.00897,0.612,183519,0.963,0.00378,5,0.294,-3.912,0,0.0531,138.009,4,0.179
0.97,0.189,304467,0.15,0.00261,10,0.12,-15.457,1,0.0424,64.572,4,0.103
0.0262,0.595,235107,0.84,0.00257,0,0.2,-5.012,1,0.0466,130.021,4,0.471
0.785,0.377,189800,0.438,0.0,0,0.111,-9.703,1,0.0283,80.686,3,0.14
0.696,0.821,106684,0.607,0.0,7,0.14,-6.035,1,0.136,97.976,4,0.924
0.493,0.555,191453,0.481,0.0,7,0.132,-10.637,1,0.0582,164.464,4,0.676
0.838,0.367,162213,0.279,0.0,3,0.133,-15.758,1,0.0545,170.139,5,0.507
0.912,0.787,187933,0.256,0.0,7,0.164,-11.895,1,0.371,121.014,4,0.851
0.217,0.744,163636,0.881,0.0,6,0.425,-5.5,0,0.0692,110.026,4,0.543
0.201,0.542,204653,0.599,0.0,9,0.0486,-6.281,0,0.0276,117.993,4,0.394
0.796,0.5,166093,0.335,0.857,7,0.141,-11.136,1,0.0291,145.327,4,0.625
0.0379,0.523,169053,0.645,0.748,7,0.204,-8.095,1,0.0282,117.758,4,0.84
0.522,0.653,157267,0.736,0.0,8,0.241,-8.69,1,0.0627,133.91,4,0.903
0.00247,0.835,207733,0.833,0.0,1,0.171,-4.364,0,0.284,103.358,4,0.586
0.0195,0.728,193846,0.741,0.0,11,0.341,-8.003,0,0.0681,130.098,4,0.286
0.721,0.562,271573,0.439,0.0,3,0.352,-9.969,1,0.401,155.337,4,0.588
0.95,0.96,189200,0.32,0.878,7,0.15,-9.713,1,0.0906,124.968,4,0.695
0.393,0.538,266680,0.718,0.0,0,0.636,-8.157,1,0.052,152.039,4,0.787
0.968,0.192,290707,0.111,0.0906,4,0.376,-21.133,1,0.0455,88.223,4,0.0389
0.203,0.445,173941,0.532,0.0,10,0.0907,-8.125,1,0.0291,83.462,3,0.196
0.00582,0.743,238373,0.339,0.0,1,0.0812,-7.678,1,0.409,203.927,4,0.118
0.784,0.401,243040,0.43,0.00502,1,0.922,-9.25,1,0.0331,87.938,4,0.152
0.0553,0.734,232667,0.864,0.0,8,0.305,-4.841,1,0.141,131.146,4,0.652
0.0023,0.978,254467,0.787,4.6e-6,2,0.102,-2.79,1,0.0394,116.006,4,0.597
0.547,0.624,156960,0.668,1.78e-6,6,0.217,-7.896,1,0.0265,114.665,4,0.731
0.887,0.389,192053,0.396,0.0,7,0.0828,-7.999,1,0.0332,171.86,3,0.585
0.208,0.613,260670,0.854,0.000127,4,0.132,-4.512,1,0.0664,145.937,4,0.816
0.835,0.426,163373,0.184,0.0107,2,0.27,-20.518,0,0.0405,157.66,3,0.754
0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422
0.0235,0.505,224387,0.624,0.0,7,0.5,-6.513,1,0.0371,139.849,4,0.215
0.133,0.458,187200,0.774,2.16e-5,2,0.125,-6.828,1,0.0341,151.984,4,0.704
0.53,0.525,206249,0.574,6.89e-6,1,0.314,-6.448,0,0.296,199.512,4,0.42
0.0632,0.655,243520,0.949,0.0,10,0.298,-3.42,0,0.065,110.99,4,0.776
0.952,0.255,206027,0.361,0.00967,0,0.119,-8.578,0,0.0463,123.67,3,0.157
0.48,0.445,230893,0.499,0.0,2,0.164,-7.965,1,0.0307,140.071,4,0.247
0.0318,0.981,202400,0.569,0.000535,7,0.088,-6.025,1,0.0652,124.989,4,0.539
0.578,0.725,178640,0.321,0.0,1,0.0884,-10.744,0,0.323,70.142,4,0.319
0.709,0.29,307867,0.455,0.781,4,0.164,-6.812,1,0.0692,177.621,4,0.34
0.134,0.785,190094,0.648,0.0,1,0.0771,-4.525,1,0.0373,118.033,4,0.689
0.434,0.468,133773,0.514,0.0,9,0.3,-8.377,1,0.0452,162.078,4,0.552
0.325,0.551,222333,0.561,0.0,7,0.0827,-12.516,1,0.0483,123.182,4,0.806
0.0469,0.311,208467,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668
0.0749,0.686,240080,0.567,1.23e-6,9,0.611,-10.993,1,0.0278,103.976,4,0.643
0.0366,0.684,211800,0.896,5.76e-6,9,0.292,-4.239,1,0.144,129.942,4,0.444
0.00116,0.601,148125,0.99,0.52,6,0.124,-3.016,1,0.337,127.958,4,0.192
0.0388,0.709,205120,0.907,3.13e-6,10,0.0873,-5.063,1,0.0722,127.953,4,0.438
0.671,0.548,224867,0.564,0.0,9,0.11,-6.662,0,0.105,95.154,4,0.615
0.0154,0.329,223920,0.866,0.0,4,0.221,-4.444,0,0.268,150.557,4,0.17
0.926,0.411,538800,0.103,0.561,5,0.0957,-26.074,1,0.0528,132.603,4,0.0697
0.0504,0.378,249773,0.555,0.0,7,0.199,-6.086,1,0.0498,91.966,4,0.524
0.224,0.765,133012,0.61,0.0,2,0.0277,-7.408,1,0.402,83.125,4,0.543
0.766,0.402,192467,0.27,0.0,7,0.0896,-10.016,1,0.0483,112.167,3,0.38
0.583,0.549,212307,0.651,0.0,0,0.121,-7.097,1,0.0323,122.818,4,0.368
0.661,0.449,182507,0.699,0.0,5,0.0956,-7.967,1,0.493,150.247,4,0.338
0.0913,0.581,163612,0.672,0.0,0,0.264,-6.392,0,0.0487,119.952,4,0.623
0.886,0.302,348640,0.207,0.00832,1,0.247,-11.696,1,0.0359,139.695,4,0.298
0.737,0.414,296705,0.49,0.0,0,0.0577,-7.679,1,0.0365,159.722,3,0.423
0.0044,0.596,278571,0.871,0.0581,11,0.168,-2.616,1,0.0486,150.018,4,0.277
0.243,0.757,272333,0.398,0.0649,10,0.182,-15.444,1,0.0289,105.867,4,0.598
0.00969,0.686,225000,0.652,1.46e-5,5,0.0776,-4.512,0,0.0407,128.006,4,0.596
0.99,0.268,675360,0.113,0.934,3,0.121,-22.509,1,0.0417,92.943,4,0.142
0.115,0.625,212453,0.676,0.00277,0,0.248,-7.059,1,0.036,120.019,4,0.629
0.934,0.341,194787,0.192,0.872,0,0.218,-18.539,1,0.041,78.142,4,0.406
0.602,0.575,239720,0.373,1.06e-6,5,0.0955,-9.466,1,0.0237,100.018,4,0.435
0.602,0.596,196587,0.92,1.02e-5,7,0.076,-6.638,1,0.0363,164.301,4,0.966
0.704,0.502,259733,0.535,5.09e-5,2,0.488,-7.896,1,0.0243,98.278,4,0.429
0.265,0.886,196627,0.626,0.0,11,0.024,-2.528,0,0.277,93.989,4,0.856
0.902,0.456,224293,0.384,0.0,0,0.123,-7.102,1,0.0311,98.462,4,0.468
0.0689,0.727,184960,0.932,6.02e-6,8,0.153,-5.117,0,0.0452,92.016,4,0.896
0.0152,0.701,275133,0.889,0.0131,0,0.148,-4.776,1,0.0362,126.986,4,0.789
0.182,0.67,181000,0.677,0.0,0,0.0884,-3.906,1,0.032,121.041,4,0.685
0.0323,0.668,251480,0.813,4.79e-5,5,0.61,-6.678,1,0.0275,132.103,4,0.784
0.177,0.821,270587,0.774,0.000676,11,0.0577,-3.418,1,0.235,93.425,4,0.547
0.609,0.475,182747,0.579,0.0,5,0.0756,-4.096,1,0.0334,178.151,4,0.466
0.0679,0.242,125013,0.91,3.38e-6,9,0.137,-5.19,1,0.113,193.886,4,0.253
0.0873,0.687,73261,0.846,0.0,5,0.303,-4.247,0,0.0638,157.374,4,0.912
0.145,0.595,225813,0.52,0.0,11,0.117,-8.185,0,0.0414,79.95,4,0.369
0.194,0.779,161322,0.666,0.000556,5,0.0576,-7.361,1,0.0482,123.024,4,0.507
0.246,0.759,186453,0.733,2.11e-6,0,0.0493,-4.773,1,0.0362,121.977,4,0.481
0.983,0.311,124067,0.147,0.0,10,0.107,-22.533,1,0.0567,77.834,4,0.387
0.497,0.475,286256,0.956,7.36e-5,4,0.844,-7.198,1,0.689,95.267,4,0.479
0.347,0.616,294147,0.573,1.38e-6,0,0.104,-7.133,1,0.0393,163.987,4,0.26
2.74e-6,0.107,277012,0.979,0.93,1,0.475,-5.031,1,0.124,91.066,4,0.0571
3.68e-6,0.158,277236,0.953,0.937,7,0.506,-4.517,1,0.0833,106.68,4,0.133
0.917,0.796,249813,0.252,0.61,9,0.0577,-9.183,0,0.0442,123.039,4,0.626
0.000806,0.648,174250,0.969,0.869,4,0.0736,-4.417,0,0.0496,129.995,4,0.321
0.0828,0.401,275867,0.556,0.000359,2,0.589,-10.532,1,0.0513,85.206,4,0.654
0.293,0.635,227813,0.837,0.0,1,0.429,-5.778,0,0.213,95.029,4,0.765
0.938,0.976,196147,0.415,0.922,9,0.0908,-10.169,0,0.135,123.052,4,0.838
0.271,0.769,272333,0.396,0.0386,10,0.184,-15.419,1,0.0302,105.845,4,0.622
0.622,0.661,212626,0.268,0.00239,7,0.107,-13.674,1,0.0271,101.006,4,0.209
0.922,0.227,393080,0.186,0.0,11,0.167,-13.291,0,0.0352,82.996,4,0.244
0.0781,0.577,184320,0.845,0.0,2,0.114,-3.003,1,0.0521,137.992,4,0.458
0.877,0.0826,205440,0.183,0.844,2,0.0777,-18.629,0,0.0474,175.432,4,0.0384
0.598,0.711,199343,0.761,0.127,6,0.134,-7.267,1,0.233,160.738,4,0.526
0.541,0.449,275160,0.523,4.1e-5,9,0.162,-7.949,1,0.028,142.438,4,0.553
0.229,0.747,311267,0.81,0.000194,2,0.369,-3.282,1,0.128,82.52,4,0.774
0.529,0.567,214133,0.456,0.0,2,0.177,-6.062,1,0.0261,90.035,4,0.313
0.848,0.536,202360,0.258,0.00176,8,0.0875,-14.778,1,0.0304,129.839,4,0.124
0.992,0.46,213253,0.0474,0.895,2,0.111,-23.571,0,0.0432,134.968,4,0.115
0.00635,0.664,206197,0.844,0.00285,5,0.542,-5.012,0,0.0405,142.056,4,0.557
0.0173,0.48,214707,0.855,0.0,7,0.183,-5.579,1,0.0377,130.617,4,0.795
0.000339,0.905,177604,0.596,2.05e-5,1,0.0897,-7.496,0,0.118,149.996,4,0.422
0.0102,0.511,174893,0.777,0.0155,11,0.215,-9.538,0,0.038,140.0,4,0.237
0.235,0.68,230408,0.732,0.000174,10,0.0705,-7.108,0,0.27,75.422,4,0.864
0.291,0.542,233333,0.76,6.62e-6,0,0.268,-10.175,1,0.0546,170.182,4,0.633
0.307,0.643,191606,0.766,1.38e-5,6,0.107,-4.788,0,0.384,97.092,4,0.463
0.679,0.729,226367,0.566,0.524,1,0.0891,-10.114,1,0.0365,110.424,4,0.244
0.00305,0.517,281267,0.851,1.65e-6,4,0.189,-5.935,0,0.106,96.296,5,0.387
0.0601,0.809,349080,0.399,0.003,0,0.0531,-14.58,0,0.0349,108.078,4,0.722
0.000199,0.603,337228,0.754,0.862,7,0.874,-10.345,1,0.0378,123.029,4,0.0374
0.274,0.499,262747,0.761,9.38e-6,5,0.137,-5.436,0,0.0367,76.118,4,0.582
0.883,0.465,181440,0.459,0.000173,6,0.0692,-8.137,0,0.0351,90.807,4,0.288
0.845,0.511,239767,0.304,1.03e-5,0,0.0741,-11.096,1,0.0279,112.379,3,0.195
0.472,0.679,230960,0.464,1.61e-5,6,0.105,-13.532,0,0.0395,102.315,3,0.922
0.278,0.425,304840,0.556,0.0,6,0.17,-8.81,1,0.0394,207.773,4,0.501
0.0399,0.707,197355,0.758,0.0,4,0.141,-4.511,0,0.0917,97.037,4,0.674
0.331,0.782,268933,0.436,1.3e-5,2,0.342,-7.033,1,0.155,82.994,4,0.243
0.000459,0.598,194490,0.896,0.824,10,0.327,-3.7,0,0.0655,102.043,4,0.559
