acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,label
0.357,0.656,291867,0.565,0.000192,9,0.0629,-8.722,1,0.0301,77.049,4,0.615,1
0.916,0.6,100867,0.0883,0.926,0,0.155,-26.769,1,0.0548,124.042,4,0.568,1
0.0838,0.911,172954,0.6,0.000113,6,0.338,-8.049,0,0.289,96.01,4,0.249,0
0.603,0.541,285413,0.377,0.0,10,0.196,-11.864,1,0.0252,104.279,4,0.449,1
0.00484,0.419,165013,0.615,7.03e-6,2,0.13,-8.56,1,0.197,144.937,4,0.38,0
0.722,0.378,334653,0.481,0.000185,2,0.665,-9.102,1,0.132,124.462,4,0.338,1
0.0226,0.596,305173,0.8,0.0,11,0.303,-6.914,0,0.319,79.934,4,0.5,0
0.541,0.458,294720,0.794,0.00105,6,0.101,-6.751,1,0.0376,126.951,4,0.505,1
0.0507,0.747,203853,0.745,1.9e-6,9,0.151,-3.335,1,0.146,180.123,4,0.805,0
0.051,0.886,182491,0.629,7.66e-6,1,0.121,-4.404,0,0.306,158.002,4,0.487,0
0.932,0.157,198531,0.195,0.93,10,0.122,-18.487,1,0.0438,177.964,4,0.169,1
0.921,0.513,268587,0.45,0.86,9,0.313,-11.219,0,0.0296,142.399,4,0.261,1
0.456,0.646,205386,0.707,0.0,7,0.329,-7.388,1,0.0347,123.983,4,0.801,0
0.823,0.576,168667,0.108,0.0,5,0.135,-12.435,1,0.0675,89.201,4,0.6,0
0.263,0.579,86813,0.141,0.0,0,0.296,-9.288,1,0.105,128.824,4,0.737,0
0.457,0.488,141947,0.487,0.0,2,0.519,-8.596,1,0.0432,77.302,4,0.416,1
0.853,0.586,221773,0.213,0.0,0,0.177,-11.406,1,0.0284,82.921,4,0.285,1
0.357,0.755,174827,0.876,5.17e-6,0,0.22,-8.867,1,0.0362,102.762,4,0.954,1
0.0126,0.778,193467,0.615,1.44e-6,7,0.108,-6.529,1,0.0384,120.045,4,0.648,1
0.908,0.606,180040,0.296,0.0,4,0.255,-8.356,1,0.0502,115.085,3,0.668,1
0.938,0.407,387827,0.356,0.882,8,0.147,-16.535,1,0.0406,82.209,4,0.311,1
0.194,0.853,75413,0.777,0.0,1,0.118,-3.167,0,0.182,168.056,4,0.314,0
0.285,0.771,276160,0.676,4.49e-6,4,0.546,-6.018,0,0.223,119.997,4,0.804,0
0.402,0.594,192627,0.872,3.02e-5,1,0.345,-2.204,1,0.0335,145.115,4,0.855,0
0.881,0.603,155600,0.321,0.0,2,0.34,-11.489,1,0.0599,143.104,4,0.844,1
1.07e-6,0.141,198413,0.976,0.906,1,0.194,-4.719,1,0.093,102.119,4,0.0484,0
0.677,0.549,267267,0.524,0.872,9,0.29,-11.472,0,0.0284,142.401,4,0.336,1
0.0408,0.667,244770,0.725,0.0,0,0.166,-6.532,1,0.0283,97.014,4,0.736,1
0.0758,0.425,238347,0.444,0.000133,7,0.238,-8.683,1,0.0297,98.121,4,0.57,1
0.8,0.556,210880,0.225,2.47e-6,7,0.106,-11.334,1,0.0358,156.011,3,0.475,1
0.396,0.743,229240,0.771,0.000828,5,0.445,-7.648,0,0.319,171.935,4,0.775,0
0.695,0.383,282787,0.46,0.0,1,0.194,-9.099,1,0.0526,165.635,4,0.541,1
0.283,0.537,226640,0.314,0.865,4,0.176,-9.006,1,0.0311,107.614,4,0.22,1
0.147,0.542,231360,0.721,0.0,1,0.348,-5.136,0,0.0625,149.831,4,0.623,0
0.398,0.519,298187,0.764,0.000202,2,0.0843,-5.797,1,0.0415,97.012,4,0.354,1
0.000986,0.578,188013,0.825,0.0,1,0.176,-6.107,1,0.322,130.089,4,0.283,0
0.0503,0.811,179000,0.863,0.0,0,0.309,-4.64,1,0.103,121.971,4,0.644,0
0.979,0.181,74573,0.0115,0.871,3,0.0784,-32.783,1,0.0562,75.068,1,0.263,1
0.259,0.628,184413,0.882,0.0,1,0.065,-5.024,0,0.0323,95.083,4,0.853,1
0.12,0.407,213213,0.868,0.0,2,0.25,-4.057,0,0.199,146.687,4,0.566,0
0.518,0.605,159720,0.536,0.0,1,0.528,-10.069,1,0.0421,110.849,4,0.688,1
0.0121,0.736,211023,0.773,0.00531,1,0.333,-5.092,1,0.0433,103.026,4,0.264,1
0.0373,0.641,231333,0.954,0.00104,6,0.785,-2.31,1,0.276,90.046,4,0.666,0
0.624,0.606,183389,0.645,0.0,6,0.106,-5.725,1,0.0581,100.703,4,0.465,0
0.0522,0.449,278719,0.585,8.49e-5,5,0.0833,-6.762,1,0.0268,139.627,4,0.203,1
0.0162,0.543,292093,0.915,0.0,0,0.744,-4.746,0,0.113,153.998,4,0.577,0
0.0422,0.869,190002,0.746,0.0,6,0.0936,-6.477,0,0.104,119.968,4,0.491,0
0.958,0.304,154600,0.139,0.468,0,0.092,-18.236,0,0.0327,84.272,4,0.271,1
0.566,0.394,163240,0.508,0.0,0,0.0348,-7.917,1,0.0493,151.104,4,0.52,1
0.434,0.59,257840,0.94,0.00202,10,0.102,-8.162,1,0.133,175.927,4,0.659,1
0.313,0.541,219067,0.584,1.38e-6,10,0.0898,-6.405,0,0.0632,89.975,4,0.603,0
0.77,0.807,144480,0.703,0.0,0,0.184,-8.22,1,0.0445,114.381,4,0.966,1
0.227,0.517,238333,0.798,0.0,7,0.0951,-5.322,0,0.0319,86.907,4,0.645,1
0.0354,0.905,250693,0.945,0.00529,4,0.0707,-2.63,1,0.137,131.597,4,0.944,0
0.13,0.708,232773,0.804,0.0,4,0.339,-7.106,1,0.0516,123.449,4,0.779,0
0.572,0.767,244173,0.271,0.0929,0,0.162,-9.23,1,0.0531,124.042,4,0.639,1
0.0743,0.687,288670,0.865,0.225,6,0.0966,-4.663,1,0.0349,117.015,4,0.261,1
0.99,0.471,219027,0.108,0.949,9,0.067,-22.826,1,0.0423,126.493,4,0.569,1
0.243,0.619,149773,0.876,0.0,0,0.0752,-3.347,1,0.0438,111.847,4,0.778,1
0.00855,0.714,155333,0.905,2.55e-5,8,0.146,-2.663,1,0.0289,125.927,4,0.838,1
0.284,0.692,211013,0.886,0.0,1,0.341,-2.519,1,0.0519,100.03,4,0.879,0
0.0941,0.485,242373,0.619,3.31e-6,5,0.109,-7.115,0,0.0289,138.017,4,0.416,1
0.017,0.609,155546,0.912,0.0335,0,0.44,-3.823,1,0.0486,128.0,4,0.533,0
0.00883,0.567,212903,0.423,2.93e-6,8,0.0947,-8.845,1,0.0409,138.033,4,0.135,0
0.274,0.587,194493,0.908,0.0,4,0.242,-5.008,1,0.0377,147.961,4,0.698,0
0.421,0.708,218228,0.779,0.00176,7,0.115,-6.28,1,0.0787,142.012,4,0.46,1
0.00778,0.898,156800,0.935,3.63e-5,11,0.217,-2.744,1,0.291,150.016,4,0.884,0
0.293,0.583,233893,0.747,0.00656,4,0.659,-5.633,0,0.0834,160.865,4,0.662,1
0.059,0.597,56331,0.818,0.0,8,0.0905,-4.91,1,0.0812,156.922,4,0.758,0
9.04e-6,0.175,359816,0.923,0.942,5,0.879,-6.271,0,0.0944,109.454,4,0.0548,0
0.993,0.428,237787,0.0465,0.914,2,0.0637,-24.419,0,0.0488,117.213,4,0.108,1
0.0186,0.514,235080,0.641,0.0,7,0.261,-7.968,1,0.0378,105.103,4,0.541,1
0.364,0.811,235897,0.734,2.26e-6,0,0.121,-6.626,0,0.334,150.06,4,0.566,0
0.0527,0.679,221840,0.684,0.000895,6,0.177,-8.559,1,0.278,151.748,4,0.755,0
0.0192,0.694,220238,0.832,0.0,5,0.355,-3.038,0,0.0598,135.011,4,0.424,0
0.805,0.66,119582,0.294,0.0,4,0.0917,-12.776,0,0.143,97.481,3,0.304,1
0.808,0.55,226200,0.154,0.0,7,0.184,-14.917,1,0.0539,82.126,4,0.751,1
0.0341,0.716,195801,0.746,0.0,6,0.289,-4.75,1,0.039,119.846,4,0.343,1
0.0019,0.457,215510,0.899,0.0,10,0.831,-2.591,0,0.132,147.268,4,0.298,0
0.316,0.634,271853,0.674,0.0,5,0.139,-9.75,0,0.037,124.001,4,0.523,1
0.899,0.452,268867,0.179,0.0,9,0.178,-11.165,1,0.0824,121.488,4,0.103,1
0.214,0.558,280813,0.454,0.000117,9,0.0441,-14.853,1,0.0288,88.861,3,0.914,1
0.000238,0.44,290427,0.975,0.0159,11,0.407,-2.024,1,0.0806,147.938,4,0.552,0
0.479,0.516,187053,0.605,4.55e-6,0,0.97,-7.988,1,0.0565,112.132,4,0.448,1
0.00126,0.83,180510,0.868,0.11,2,0.124,-4.223,1,0.159,149.95,4,0.702,0
0.0627,0.911,91840,0.546,3.37e-6,2,0.177,-9.792,1,0.227,91.989,4,0.859,0
0.506,0.632,191138,0.453,0.0,7,0.118,-6.887,1,0.0322,97.108,3,0.239,1
0.000986,0.578,188013,0.825,0.0,1,0.176,-6.107,1,0.322,130.089,4,0.283,0
0.135,0.786,219333,0.868,0.0,1,0.218,-5.503,1,0.3,140.024,4,0.771,0
0.00456,0.867,257360,0.517,0.000339,11,0.0864,-13.222,0,0.0875,133.148,4,0.866,0
0.0176,0.706,202933,0.947,0.598,1,0.0529,-4.654,1,0.182,99.976,4,0.298,0
0.201,0.648,166840,0.475,0.0,6,0.127,-7.301,1,0.118,143.599,4,0.267,1
0.379,0.503,233560,0.618,0.0,7,0.114,-6.06,0,0.0299,81.907,4,0.232,1
0.892,0.187,294827,0.351,3.19e-6,10,0.673,-9.935,1,0.0323,84.31,3,0.141,1
0.952,0.327,240600,0.28,3.31e-5,2,0.104,-9.003,1,0.0408,83.047,4,0.13,1
0.000581,0.429,229373,0.817,0.0328,6,0.0842,-2.491,0,0.0541,84.979,4,0.58,0
0.324,0.49,263022,0.834,0.0,9,0.558,-5.082,0,0.312,93.77,4,0.572,0
0.654,0.194,334853,0.29,1.72e-6,1,0.0784,-10.769,1,0.0359,69.798,3,0.0704,1
0.826,0.381,249493,0.515,0.00027,4,0.0858,-7.537,1,0.0294,152.173,4,0.439,1
0.0102,0.705,269440,0.738,0.000189,5,0.308,-5.402,0,0.0289,133.027,4,0.504,1
0.409,0.613,185767,0.616,0.0,4,0.398,-5.784,1,0.041,133.957,4,0.185,0
0.17,0.626,188467,0.667,0.0,9,0.112,-6.484,1,0.0739,89.233,4,0.855,0
0.625,0.435,334067,0.579,0.0,0,0.103,-5.875,1,0.0297,109.108,3,0.231,1
0.876,0.531,259160,0.243,6.07e-5,3,0.12,-11.735,1,0.0327,132.032,4,0.263,1
0.125,0.48,110075,0.56,0.0,1,0.136,-7.868,1,0.351,204.162,4,0.571,1
0.0284,0.61,214813,0.858,0.0,9,0.102,-4.867,1,0.0318,110.881,4,0.421,1
0.324,0.606,221693,0.417,3.53e-5,0,0.149,-7.985,1,0.0296,115.354,4,0.437,1
0.538,0.496,244120,0.441,0.0,2,0.151,-8.649,1,0.0308,130.024,4,0.282,0
0.392,0.384,264253,0.559,0.00543,0,0.138,-5.51,1,0.0311,145.002,1,0.485,1
0.914,0.438,216926,0.236,0.00175,9,0.131,-13.679,1,0.0285,95.022,4,0.128,1
0.000961,0.685,250053,0.893,0.000379,1,0.324,-3.586,1,0.0646,131.006,4,0.438,1
0.804,0.401,201484,0.416,0.0,0,0.0957,-10.067,1,0.0417,66.47,3,0.525,1
0.802,0.657,132000,0.56,0.00079,4,0.216,-7.934,1,0.376,118.211,4,0.18,0
0.543,0.717,261773,0.916,0.000156,11,0.0854,-6.047,1,0.0344,133.144,4,0.964,1
0.0558,0.556,326347,0.644,2.32e-5,6,0.35,-5.805,0,0.402,140.009,4,0.499,0
0.1,0.722,98595,0.836,2.1e-5,10,0.384,-7.231,0,0.0837,125.064,4,0.914,1
0.0125,0.582,213750,0.881,0.0,5,0.158,-3.373,1,0.045,127.992,4,0.234,1
0.946,0.323,100133,0.0461,0.0164,0,0.165,-27.817,1,0.0427,123.772,4,0.315,1
0.209,0.475,213002,0.469,0.0,7,0.329,-10.42,1,0.0328,81.687,4,0.641,1
0.00129,0.64,227520,0.92,0.0,1,0.0914,-2.597,1,0.0594,143.434,4,0.361,0
0.00689,0.865,287000,0.664,0.0,2,0.142,-6.822,1,0.108,162.831,4,0.565,0
0.308,0.558,196013,0.925,0.0,0,0.416,-3.83,1,0.0335,136.696,4,0.945,0
0.116,0.772,249133,0.805,0.000349,5,0.0759,-8.363,0,0.0848,122.95,4,0.657,1
0.245,0.755,392064,0.814,0.0,1,0.499,-6.045,1,0.285,87.01,4,0.549,0
0.466,0.372,259427,0.494,0.00166,11,0.0585,-8.559,1,0.0297,103.66,4,0.227,1
0.0012,0.641,227520,0.915,0.0,1,0.0967,-2.608,1,0.0599,143.424,4,0.336,0
0.916,0.605,125867,0.314,0.0,0,0.359,-7.631,1,0.0327,138.148,4,0.836,1
0.737,0.306,353920,0.377,0.0,1,0.0365,-8.09,1,0.0344,85.714,4,0.245,1
0.805,0.422,187933,0.165,0.00613,5,0.271,-20.931,1,0.0385,144.367,3,0.643,1
0.0292,0.844,280920,0.751,1.71e-5,6,0.499,-6.5,1,0.223,129.985,4,0.514,0
0.545,0.769,221213,0.405,0.000887,6,0.0521,-9.152,1,0.269,78.427,4,0.521,1
0.302,0.7,311547,0.887,0.000803,9,0.16,-4.702,1,0.0399,105.647,4,0.861,1
0.0185,0.703,207408,0.851,0.000244,7,0.102,-6.813,1,0.353,203.988,4,0.879,0
0.284,0.438,236493,0.464,0.0035,1,0.221,-7.831,1,0.0304,119.601,4,0.321,1
0.577,0.346,414987,0.31,0.0,11,0.161,-11.493,1,0.0435,86.392,4,0.379,1
0.68,0.544,303360,0.403,0.0,5,0.584,-10.548,1,0.428,145.101,3,0.565,1
0.769,0.473,235683,0.424,2.99e-5,5,0.237,-9.143,1,0.03,137.039,4,0.275,1
0.29,0.364,337413,0.457,0.000106,4,0.922,-14.162,0,0.0675,163.219,4,0.175,1
0.724,0.518,395013,0.411,0.0661,2,0.159,-9.385,1,0.0286,143.913,4,0.484,1
0.232,0.675,123079,0.667,0.0,0,0.0813,-7.009,1,0.0785,141.943,4,0.493,1
0.476,0.478,197960,0.454,0.0,2,0.112,-8.04,1,0.0287,116.096,4,0.436,1
0.2,0.805,191982,0.793,2.37e-6,10,0.14,-2.218,0,0.0687,120.128,4,0.262,0
0.962,0.211,103867,0.0904,0.881,8,0.183,-27.385,1,0.0385,82.279,3,0.0652,1
0.794,0.986,143053,0.769,0.0,8,0.189,-6.699,1,0.302,117.945,4,0.958,0
0.849,0.39,184667,0.302,0.000191,0,0.122,-10.362,1,0.0379,109.394,3,0.232,1
0.0254,0.541,205200,0.854,0.000125,2,0.651,-6.196,1,0.155,86.044,4,0.454,0
0.685,0.346,199600,0.25,0.00093,5,0.102,-10.954,1,0.0368,106.856,4,0.293,1
0.0574,0.681,182507,0.835,0.0,5,0.223,-4.426,1,0.0642,132.059,4,0.581,0
0.176,0.808,238440,0.717,0.0,0,0.168,-3.772,1,0.215,96.881,4,0.668,0
0.558,0.541,223840,0.485,0.0,8,0.12,-6.85,1,0.031,136.956,4,0.369,1
0.0592,0.211,209760,0.31,0.94,7,0.106,-14.518,1,0.0297,71.777,4,0.475,0
1.17e-6,0.332,220779,0.961,0.967,0,0.675,-4.542,1,0.0867,95.081,4,0.0381,0
0.713,0.775,168240,0.455,0.0,0,0.0832,-8.717,1,0.0385,130.337,4,0.596,1
0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51,0
0.0232,0.734,207013,0.76,0.0,11,0.127,-5.267,0,0.0415,122.072,4,0.685,1
0.713,0.514,100125,0.521,0.816,8,0.112,-14.835,0,0.0444,119.879,4,0.143,1
0.00419,0.588,209973,0.909,0.00129,1,0.243,-4.113,1,0.0704,159.019,4,0.743,0
0.108,0.632,281027,0.805,3.13e-5,4,0.361,-6.989,1,0.0262,97.032,4,0.681,1
0.0743,0.596,223469,0.905,0.00168,8,0.129,-3.438,0,0.0515,144.981,4,0.692,0
0.0468,0.503,296512,0.896,0.0,5,0.716,-6.567,0,0.204,81.191,4,0.663,0
0.00216,0.442,215110,0.739,0.00169,1,0.0854,-4.084,1,0.0598,108.288,1,0.229,1
0.022,0.646,219899,0.851,0.0104,7,0.126,-4.034,0,0.0311,126.47,4,0.514,1
0.816,0.408,165687,0.304,0.0,5,0.0831,-11.164,1,0.0411,109.169,4,0.0935,1
0.084,0.976,154747,0.771,4.94e-5,5,0.126,-8.563,1,0.221,126.109,4,0.562,0
0.164,0.533,180918,0.889,0.0011,1,0.089,-4.963,0,0.0951,106.95,4,0.701,0
0.444,0.298,366227,0.252,1.77e-5,2,0.116,-11.46,1,0.0342,187.451,3,0.207,1
0.862,0.499,133467,0.235,0.000224,4,0.281,-9.564,0,0.0396,129.747,4,0.619,1
0.0714,0.763,229640,0.807,0.28,1,0.348,-3.714,1,0.035,103.038,3,0.559,0
0.000807,0.409,258613,0.892,0.0,2,0.207,-4.373,1,0.0336,174.426,4,0.651,0
0.0767,0.699,241480,0.877,0.0,11,0.386,-4.788,1,0.0374,107.023,4,0.493,1
0.491,0.655,237013,0.405,0.000411,7,0.0664,-15.219,1,0.036,82.218,4,0.841,1
0.00987,0.528,210173,0.672,0.000704,8,0.141,-6.54,1,0.0316,116.078,4,0.467,1
0.541,0.749,70352,0.49,0.0,5,0.0979,-7.597,1,0.214,70.965,4,0.755,1
0.15,0.853,211280,0.583,2.52e-6,8,0.0864,-4.563,1,0.281,160.026,4,0.365,0
0.967,0.286,235000,0.14,0.154,6,0.116,-14.593,0,0.0327,74.685,4,0.0456,1
0.197,0.857,208720,0.441,0.00123,0,0.108,-6.649,1,0.0452,91.977,4,0.625,0
0.813,0.555,247680,0.477,0.673,3,0.116,-9.919,1,0.0295,138.231,4,0.373,1
0.517,0.631,58671,0.5,0.0,0,0.0799,-8.154,1,0.029,79.969,3,0.694,1
0.079,0.773,271507,0.646,0.000297,8,0.0866,-4.902,1,0.125,135.0,4,0.858,1
0.155,0.618,210453,0.723,1.6e-5,6,0.302,-6.283,0,0.0354,86.809,4,0.734,1
0.409,0.499,180175,0.584,0.0,5,0.402,-7.965,1,0.0423,185.858,4,0.738,1
0.019,0.429,184753,0.76,0.0,7,0.102,-5.434,1,0.327,78.26,4,0.541,0
0.00329,0.688,279829,0.819,1.8e-5,7,0.0943,-6.935,1,0.0558,146.003,4,0.457,0
0.525,0.802,261227,0.387,0.00169,8,0.33,-12.05,1,0.458,79.583,4,0.76,0
0.0346,0.728,245533,0.615,0.0,6,0.196,-9.051,1,0.263,100.14,4,0.812,0
0.094,0.756,182413,0.905,0.0,0,0.183,-2.482,1,0.0424,112.044,4,0.679,0
0.031,0.698,145400,0.945,0.00223,9,0.255,-4.803,1,0.367,160.017,4,0.588,0
0.202,0.755,216450,0.577,0.0,3,0.234,-7.549,1,0.157,100.034,4,0.451,0
0.00422,0.792,202963,0.454,0.0,9,0.285,-6.753,1,0.458,161.993,4,0.674,0
0.826,0.695,55653,0.271,0.0,0,0.0591,-9.283,1,0.294,137.503,3,0.519,0
0.491,0.644,217707,0.346,0.151,2,0.324,-16.599,1,0.0407,112.49,4,0.711,1
0.271,0.414,354320,0.404,0.0,0,0.3,-9.928,0,0.0499,71.105,4,0.224,1
0.797,0.396,228707,0.463,0.000329,4,0.175,-7.359,1,0.032,78.154,4,0.315,1
0.00734,0.823,169106,0.868,0.234,7,0.293,-6.994,1,0.205,124.921,4,0.779,0
0.11,0.731,193467,0.748,0.0,1,0.325,-5.115,1,0.0443,94.965,4,0.836,0
0.992,0.525,228253,0.0553,0.933,2,0.0934,-22.358,1,0.0633,67.325,4,0.256,1
0.786,0.261,276280,0.274,0.0,8,0.108,-9.04,1,0.0291,91.285,4,0.249,1
0.0501,0.699,242427,0.79,1.81e-6,7,0.0309,-3.51,1,0.115,90.922,4,0.959,0
0.175,0.814,268005,0.779,0.000671,11,0.0605,-3.271,1,0.235,93.43,4,0.544,0
0.226,0.662,184947,0.847,0.000108,0,0.205,-4.074,1,0.0581,170.049,4,0.416,0
0.618,0.669,260760,0.518,0.623,9,0.102,-10.743,1,0.0261,91.019,4,0.463,1
0.215,0.518,214067,0.783,9.53e-6,2,0.14,-4.88,1,0.0406,125.985,4,0.152,1
0.206,0.321,302307,0.738,0.000314,5,0.961,-7.067,0,0.0666,104.708,4,0.346,1
0.729,0.33,284573,0.564,0.0,3,0.0862,-7.352,1,0.0492,91.303,4,0.288,1
0.821,0.541,211426,0.193,0.0,0,0.0999,-11.957,1,0.0433,117.47,3,0.533,1
0.00834,0.563,256240,0.86,0.0106,8,0.39,-7.533,1,0.0621,97.867,4,0.517,0
0.0857,0.451,122893,0.673,0.00225,7,0.797,-9.115,1,0.0734,95.513,4,0.583,1
0.44,0.466,212907,0.453,0.00362,7,0.166,-10.334,1,0.0256,154.69,3,0.266,1
0.846,0.222,366773,0.312,0.391,5,0.155,-8.897,1,0.0429,64.773,3,0.134,1
0.00347,0.702,174201,0.987,0.0256,7,0.281,-2.711,1,0.148,99.982,4,0.261,0
0.204,0.711,212520,0.561,7.02e-5,7,0.085,-8.127,1,0.0301,114.731,4,0.459,1
0.951,0.662,206467,0.227,0.0,2,0.0613,-12.03,1,0.108,116.003,5,0.629,0
0.228,0.574,178707,0.899,3.7e-6,8,0.135,-3.741,1,0.0311,171.847,4,0.96,0
0.992,0.417,93240,0.0829,0.0,3,0.211,-18.641,1,0.0399,145.994,4,0.614,1
0.202,0.418,238480,0.687,0.0,5,0.111,-4.293,1,0.105,79.449,5,0.549,0
0.0337,0.603,221533,0.823,5.31e-6,8,0.0458,-6.06,1,0.0356,85.006,4,0.741,1
0.217,0.85,204027,0.788,0.027,4,0.0785,-5.651,1,0.0317,138.849,4,0.968,1
0.435,0.658,242861,0.591,8.15e-5,2,0.123,-5.221,1,0.0647,126.829,4,0.483,0
0.00181,0.62,219183,0.899,0.0,1,0.0941,-2.364,1,0.223,87.54,4,0.765,0
0.0399,0.546,241920,0.733,1.11e-6,2,0.235,-7.073,1,0.0299,107.285,4,0.91,1
0.00944,0.649,260807,0.807,0.00185,7,0.111,-6.132,1,0.034,114.983,4,0.215,1
0.168,0.7,249493,0.823,2.81e-5,3,0.122,-6.892,1,0.0373,144.06,4,0.745,1
0.689,0.704,311279,0.716,0.0,0,0.45,-7.199,1,0.105,95.038,4,0.629,0
0.452,0.825,259102,0.435,0.609,1,0.0953,-9.582,1,0.0568,119.038,4,0.243,1
0.196,0.587,284359,0.677,2.13e-6,8,0.316,-5.915,1,0.0721,107.003,4,0.279,0
0.111,0.716,192867,0.658,0.0,2,0.0731,-6.791,1,0.0425,136.438,4,0.884,1
0.228,0.375,180520,0.504,0.0,6,0.208,-6.688,1,0.0366,176.318,4,0.384,1
0.195,0.887,231733,0.682,0.0503,4,0.0623,-7.795,1,0.0436,115.7,4,0.962,1
0.14,0.558,238027,0.718,0.0,5,0.301,-5.691,0,0.0331,127.992,4,0.466,1
0.116,0.506,186320,0.919,0.0,5,0.349,-3.952,1,0.0366,164.108,4,0.793,0
0.778,0.646,184480,0.314,0.00071,0,0.123,-8.999,1,0.0345,149.97,4,0.457,1
0.721,0.691,270080,0.414,0.931,2,0.11,-9.749,1,0.036,124.846,4,0.283,1
0.0148,0.697,276569,0.527,0.0,1,0.0912,-7.958,1,0.08,132.895,4,0.132,0
0.823,0.33,321347,0.187,1.1e-5,0,0.0749,-14.114,0,0.0339,80.298,4,0.194,1
0.729,0.401,292280,0.351,0.0,0,0.0702,-12.597,1,0.0438,160.145,3,0.38,1
0.741,0.499,153320,0.604,5.6e-6,4,0.227,-6.997,0,0.0514,125.55,4,0.243,1
0.0744,0.622,348760,0.598,0.000299,2,0.119,-9.79,1,0.0296,131.183,4,0.719,1
0.00327,0.587,260253,0.828,0.0,11,0.331,-5.108,1,0.161,123.907,4,0.494,1
0.00496,0.733,236093,0.899,4.72e-5,0,0.372,-4.237,1,0.143,127.086,4,0.76,0
0.266,0.386,268427,0.538,7.18e-5,0,0.213,-7.664,1,0.0403,166.49,4,0.258,1
0.01,0.469,193963,0.807,4.52e-5,9,0.15,-8.099,1,0.0357,148.085,4,0.521,1
0.0117,0.83,204879,0.768,0.00017,11,0.0743,-5.564,0,0.264,125.972,4,0.631,0
0.0469,0.311,208467,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668,1
0.367,0.564,213480,0.756,0.0,0,0.438,-4.812,1,0.0723,154.007,4,0.658,1
0.99,0.379,235733,0.204,0.869,2,0.0572,-19.543,1,0.0539,119.979,4,0.0603,1
0.000363,0.554,262893,0.699,3.56e-6,9,0.0819,-5.788,1,0.0369,128.021,4,0.214,1
0.516,0.67,256800,0.379,0.0,8,0.131,-11.255,1,0.869,148.068,4,0.555,1
0.267,0.703,220280,0.911,0.056,5,0.17,-6.015,1,0.0275,127.974,4,0.949,1
0.862,0.49,189507,0.193,9.74e-6,11,0.113,-9.544,1,0.0421,89.154,4,0.184,1
0.375,0.597,246027,0.606,0.404,3,0.151,-10.035,1,0.0279,138.211,4,0.529,1
0.121,0.7,190302,0.872,7.08e-6,10,0.103,-5.896,1,0.0666,125.03,4,0.761,1
2.8e-6,0.181,174196,0.948,0.771,0,0.875,-3.106,1,0.0625,100.759,4,0.456,0
0.0117,0.838,245387,0.771,0.0,1,0.0853,-3.791,1,0.244,175.957,4,0.405,0
0.85,0.525,190000,0.325,5.87e-5,9,0.0977,-9.691,1,0.0302,125.018,3,0.543,1
